demanda,regulacionAbajo,fecha,ace,frecuencia,intercambioSur,intercambioNorte,primaria,regulacionArriba,archivo_origen,hora,minuto,hora_decimal,dia_semana,es_fin_semana,fecha_siguiente_esperada,gap_minutos,demanda_original,es_anomalia
1306.317,-64.0,2026-06-18 00:00:00,-2.352,59.99,210.351,-161.69,191.865,72.0,OperacionTiempoReal,0,0,0.0,3,0,2026-06-18 00:15:00,,1306.317,0
1290.817,-41.0,2026-06-18 00:15:00,9.054,60.03,192.283,-137.53,199.353,95.0,OperacionTiempoReal,0,15,0.25,3,0,2026-06-18 00:30:00,15.0,1290.817,0
1274.516,-33.0,2026-06-18 00:30:00,-0.79,60.0,192.786,-134.263,210.972,115.0,OperacionTiempoReal,0,30,0.5,3,0,2026-06-18 00:45:00,15.0,1274.516,0
1258.396,-79.0,2026-06-18 00:45:00,5.309,60.02,214.05,-171.027,146.184,57.0,OperacionTiempoReal,0,45,0.75,3,0,2026-06-18 01:00:00,15.0,1258.396,0
1242.193,-59.0,2026-06-18 01:00:00,0.0,59.98,198.096,-147.802,164.295,77.0,OperacionTiempoReal,1,0,1.0,3,0,2026-06-18 01:15:00,15.0,1242.193,0
1238.294,-41.0,2026-06-18 01:15:00,-0.974,60.01,198.247,-139.982,184.599,95.0,OperacionTiempoReal,1,15,1.25,3,0,2026-06-18 01:30:00,15.0,1238.294,0
1221.478,-37.0,2026-06-18 01:30:00,-0.595,60.02,198.667,-137.881,190.88,127.0,OperacionTiempoReal,1,30,1.5,3,0,2026-06-18 01:45:00,15.0,1221.478,0
1215.073,-68.0,2026-06-18 01:45:00,1.155,60.0,199.986,-155.971,160.229,96.0,OperacionTiempoReal,1,45,1.75,3,0,2026-06-18 02:00:00,15.0,1215.073,0
1203.675,-61.0,2026-06-18 02:00:00,0.136,60.0,193.147,-146.168,166.2,103.0,OperacionTiempoReal,2,0,2.0,3,0,2026-06-18 02:15:00,15.0,1203.675,0
1203.586,-51.0,2026-06-18 02:15:00,5.582,60.03,197.092,-135.896,176.065,113.0,OperacionTiempoReal,2,15,2.25,3,0,2026-06-18 02:30:00,15.0,1203.586,0
1195.886,-54.0,2026-06-18 02:30:00,0.562,60.01,207.795,-169.16,176.768,110.0,OperacionTiempoReal,2,30,2.5,3,0,2026-06-18 02:45:00,15.0,1195.886,0
1180.891,-52.0,2026-06-18 02:45:00,-0.952,59.98,192.936,-142.083,172.166,84.0,OperacionTiempoReal,2,45,2.75,3,0,2026-06-18 03:00:00,15.0,1180.891,0
1180.918,-56.0,2026-06-18 03:00:00,-2.557,59.99,196.531,-154.688,168.752,80.0,OperacionTiempoReal,3,0,3.0,3,0,2026-06-18 03:15:00,15.0,1180.918,0
1186.289,-67.0,2026-06-18 03:15:00,0.0,60.0,191.279,-148.851,157.975,69.0,OperacionTiempoReal,3,15,3.25,3,0,2026-06-18 03:30:00,15.0,1186.289,0
1186.647,-70.0,2026-06-18 03:30:00,0.0,60.01,176.632,-144.184,153.106,66.0,OperacionTiempoReal,3,30,3.5,3,0,2026-06-18 03:45:00,15.0,1186.647,0
1194.898,-80.0,2026-06-18 03:45:00,1.467,60.01,204.013,-165.425,143.468,56.0,OperacionTiempoReal,3,45,3.75,3,0,2026-06-18 04:00:00,15.0,1194.898,0
1198.707,-76.0,2026-06-18 04:00:00,0.287,59.99,193.206,-161.106,148.122,60.0,OperacionTiempoReal,4,0,4.0,3,0,2026-06-18 04:15:00,15.0,1198.707,0
1241.311,-67.0,2026-06-18 04:15:00,0.0,60.02,199.905,-141.032,138.832,41.0,OperacionTiempoReal,4,15,4.25,3,0,2026-06-18 04:30:00,15.0,1241.311,0
1264.599,-43.0,2026-06-18 04:30:00,0.0,59.99,200.464,-159.823,203.912,65.0,OperacionTiempoReal,4,30,4.5,3,0,2026-06-18 04:45:00,15.0,1264.599,0
1302.412,-34.0,2026-06-18 04:45:00,0.0,60.0,202.847,-146.051,228.877,107.0,OperacionTiempoReal,4,45,4.75,3,0,2026-06-18 05:00:00,15.0,1302.412,0
1346.271,-72.0,2026-06-18 05:00:00,4.477,60.03,207.981,-178.38,176.749,49.0,OperacionTiempoReal,5,0,5.0,3,0,2026-06-18 05:15:00,15.0,1346.271,0
1408.989,-66.0,2026-06-18 05:15:00,-8.357,59.98,213.56,-199.971,153.748,51.0,OperacionTiempoReal,5,15,5.25,3,0,2026-06-18 05:30:00,15.0,1408.989,0
1428.447,-57.0,2026-06-18 05:30:00,0.0,60.04,197.781,-179.197,164.218,60.0,OperacionTiempoReal,5,30,5.5,3,0,2026-06-18 05:45:00,15.0,1428.447,0
1470.871,-81.0,2026-06-18 05:45:00,-6.308,59.98,207.888,-185.617,139.271,64.0,OperacionTiempoReal,5,45,5.75,3,0,2026-06-18 06:00:00,15.0,1470.871,0
1502.508,-40.0,2026-06-18 06:00:00,7.388,60.03,193.404,-159.589,199.665,105.0,OperacionTiempoReal,6,0,6.0,3,0,2026-06-18 06:15:00,15.0,1502.508,0
1578.173,-43.0,2026-06-18 06:15:00,0.0,60.01,190.007,-135.897,179.474,93.0,OperacionTiempoReal,6,15,6.25,3,0,2026-06-18 06:30:00,15.0,1578.173,0
